Area,Element,Item,Year,Unit,Value
Morocco,Area harvested,Asparagus,1982,ha,1500
Morocco,Area harvested,Asparagus,1983,ha,1250
Morocco,Area harvested,Asparagus,1984,ha,1250
Morocco,Area harvested,Asparagus,1985,ha,1000
Morocco,Area harvested,Asparagus,1986,ha,1000
Morocco,Area harvested,Asparagus,1987,ha,750
Morocco,Area harvested,Asparagus,1988,ha,750
Morocco,Area harvested,Asparagus,1989,ha,750
Morocco,Area harvested,Asparagus,1990,ha,500
Morocco,Area harvested,Asparagus,1991,ha,366
Morocco,Area harvested,Asparagus,1992,ha,347
Morocco,Area harvested,Asparagus,1993,ha,410
Morocco,Area harvested,Asparagus,1994,ha,293
Morocco,Area harvested,Asparagus,1995,ha,297
Morocco,Area harvested,Asparagus,1996,ha,330
Morocco,Area harvested,Asparagus,1997,ha,370
Morocco,Area harvested,Asparagus,1998,ha,280
Morocco,Area harvested,Asparagus,1999,ha,164
Morocco,Area harvested,Asparagus,2000,ha,330
Morocco,Area harvested,Asparagus,2001,ha,360
Morocco,Area harvested,Asparagus,2002,ha,340
Morocco,Area harvested,Asparagus,2003,ha,282
Morocco,Area harvested,Asparagus,2004,ha,348
Morocco,Area harvested,Asparagus,2005,ha,385
Morocco,Area harvested,Asparagus,2006,ha,350
Morocco,Area harvested,Asparagus,2007,ha,340
Morocco,Area harvested,Asparagus,2008,ha,390
Morocco,Area harvested,Asparagus,2009,ha,417
Morocco,Area harvested,Asparagus,2010,ha,427
Morocco,Area harvested,Asparagus,2011,ha,331
Morocco,Area harvested,Asparagus,2012,ha,309
Morocco,Area harvested,Asparagus,2013,ha,312
Morocco,Area harvested,Asparagus,2014,ha,199
Morocco,Area harvested,Asparagus,2015,ha,58
Morocco,Area harvested,Asparagus,2016,ha,65
Morocco,Area harvested,Asparagus,2017,ha,54
Morocco,Area harvested,Asparagus,2018,ha,12
Morocco,Area harvested,Asparagus,2019,ha,30
Netherlands,Area harvested,Asparagus,1961,ha,
Netherlands,Area harvested,Asparagus,1962,ha,
Netherlands,Area harvested,Asparagus,1963,ha,
Netherlands,Area harvested,Asparagus,1964,ha,
Netherlands,Area harvested,Asparagus,1965,ha,
Netherlands,Area harvested,Asparagus,1966,ha,
Netherlands,Area harvested,Asparagus,1967,ha,
Netherlands,Area harvested,Asparagus,1968,ha,
Netherlands,Area harvested,Asparagus,1969,ha,
Netherlands,Area harvested,Asparagus,1970,ha,
Netherlands,Area harvested,Asparagus,1971,ha,
Netherlands,Area harvested,Asparagus,1972,ha,
Netherlands,Area harvested,Asparagus,1973,ha,
Netherlands,Area harvested,Asparagus,1974,ha,
Netherlands,Area harvested,Asparagus,1975,ha,
Netherlands,Area harvested,Asparagus,1976,ha,
Netherlands,Area harvested,Asparagus,1977,ha,
Netherlands,Area harvested,Asparagus,1978,ha,
Netherlands,Area harvested,Asparagus,1979,ha,
Netherlands,Area harvested,Asparagus,1980,ha,
Netherlands,Area harvested,Asparagus,1981,ha,
Netherlands,Area harvested,Asparagus,1982,ha,
Netherlands,Area harvested,Asparagus,1983,ha,
Netherlands,Area harvested,Asparagus,1984,ha,
Netherlands,Area harvested,Asparagus,1985,ha,
Netherlands,Area harvested,Asparagus,1986,ha,
Netherlands,Area harvested,Asparagus,1987,ha,
Netherlands,Area harvested,Asparagus,1988,ha,1850
Netherlands,Area harvested,Asparagus,1989,ha,2000
Netherlands,Area harvested,Asparagus,1990,ha,2700
Netherlands,Area harvested,Asparagus,1991,ha,2600
Netherlands,Area harvested,Asparagus,1992,ha,2800
Netherlands,Area harvested,Asparagus,1993,ha,2600
Netherlands,Area harvested,Asparagus,1994,ha,2400
Netherlands,Area harvested,Asparagus,1995,ha,2300
Netherlands,Area harvested,Asparagus,1996,ha,2300
Netherlands,Area harvested,Asparagus,1997,ha,2200
Netherlands,Area harvested,Asparagus,1998,ha,2800
Netherlands,Area harvested,Asparagus,1999,ha,2200
Netherlands,Area harvested,Asparagus,2000,ha,2100
Netherlands,Area harvested,Asparagus,2001,ha,2117
Netherlands,Area harvested,Asparagus,2002,ha,2200
Netherlands,Area harvested,Asparagus,2003,ha,2423
Netherlands,Area harvested,Asparagus,2004,ha,2100
Netherlands,Area harvested,Asparagus,2005,ha,2301
Netherlands,Area harvested,Asparagus,2006,ha,2959
Netherlands,Area harvested,Asparagus,2007,ha,2100
Netherlands,Area harvested,Asparagus,2008,ha,2100
Netherlands,Area harvested,Asparagus,2009,ha,2138
Netherlands,Area harvested,Asparagus,2010,ha,2253
Netherlands,Area harvested,Asparagus,2011,ha,2415
Netherlands,Area harvested,Asparagus,2012,ha,2494
Netherlands,Area harvested,Asparagus,2013,ha,2591
Netherlands,Area harvested,Asparagus,2014,ha,2642
Netherlands,Area harvested,Asparagus,2015,ha,2944
Netherlands,Area harvested,Asparagus,2016,ha,2994
Netherlands,Area harvested,Asparagus,2017,ha,3322
Netherlands,Area harvested,Asparagus,2018,ha,3100
Netherlands,Area harvested,Asparagus,2019,ha,2950
New Zealand,Area harvested,Asparagus,1961,ha,750
New Zealand,Area harvested,Asparagus,1962,ha,747
New Zealand,Area harvested,Asparagus,1963,ha,795
New Zealand,Area harvested,Asparagus,1964,ha,850
New Zealand,Area harvested,Asparagus,1965,ha,850
New Zealand,Area harvested,Asparagus,1966,ha,814
New Zealand,Area harvested,Asparagus,1967,ha,886
New Zealand,Area harvested,Asparagus,1968,ha,838
New Zealand,Area harvested,Asparagus,1969,ha,940
New Zealand,Area harvested,Asparagus,1970,ha,915
New Zealand,Area harvested,Asparagus,1971,ha,844
New Zealand,Area harvested,Asparagus,1972,ha,1082
New Zealand,Area harvested,Asparagus,1973,ha,959
New Zealand,Area harvested,Asparagus,1974,ha,656
New Zealand,Area harvested,Asparagus,1975,ha,838
New Zealand,Area harvested,Asparagus,1976,ha,815
New Zealand,Area harvested,Asparagus,1977,ha,426
New Zealand,Area harvested,Asparagus,1978,ha,535
New Zealand,Area harvested,Asparagus,1979,ha,635
New Zealand,Area harvested,Asparagus,1980,ha,896
New Zealand,Area harvested,Asparagus,1981,ha,1588
New Zealand,Area harvested,Asparagus,1982,ha,2271
New Zealand,Area harvested,Asparagus,1983,ha,2892
New Zealand,Area harvested,Asparagus,1984,ha,2840
New Zealand,Area harvested,Asparagus,1985,ha,2840
New Zealand,Area harvested,Asparagus,1986,ha,3095
New Zealand,Area harvested,Asparagus,1987,ha,3175
New Zealand,Area harvested,Asparagus,1988,ha,3097
New Zealand,Area harvested,Asparagus,1989,ha,3216
New Zealand,Area harvested,Asparagus,1990,ha,2894
New Zealand,Area harvested,Asparagus,1991,ha,4500
New Zealand,Area harvested,Asparagus,1992,ha,2453
New Zealand,Area harvested,Asparagus,1993,ha,2348
New Zealand,Area harvested,Asparagus,1994,ha,2328
New Zealand,Area harvested,Asparagus,1995,ha,2868
New Zealand,Area harvested,Asparagus,1996,ha,2262
New Zealand,Area harvested,Asparagus,1997,ha,2038
New Zealand,Area harvested,Asparagus,1998,ha,1900
New Zealand,Area harvested,Asparagus,1999,ha,1900
New Zealand,Area harvested,Asparagus,2000,ha,2177
New Zealand,Area harvested,Asparagus,2001,ha,2096
New Zealand,Area harvested,Asparagus,2002,ha,2015
New Zealand,Area harvested,Asparagus,2003,ha,1935
New Zealand,Area harvested,Asparagus,2004,ha,1500
New Zealand,Area harvested,Asparagus,2005,ha,1371
New Zealand,Area harvested,Asparagus,2006,ha,810
New Zealand,Area harvested,Asparagus,2007,ha,871
New Zealand,Area harvested,Asparagus,2008,ha,700
New Zealand,Area harvested,Asparagus,2009,ha,639
New Zealand,Area harvested,Asparagus,2010,ha,799
New Zealand,Area harvested,Asparagus,2011,ha,596
New Zealand,Area harvested,Asparagus,2012,ha,820
New Zealand,Area harvested,Asparagus,2013,ha,679
New Zealand,Area harvested,Asparagus,2014,ha,628
New Zealand,Area harvested,Asparagus,2015,ha,630
New Zealand,Area harvested,Asparagus,2016,ha,621
New Zealand,Area harvested,Asparagus,2017,ha,744
New Zealand,Area harvested,Asparagus,2018,ha,563
New Zealand,Area harvested,Asparagus,2019,ha,611
North Macedonia,Area harvested,Asparagus,1992,ha,
North Macedonia,Area harvested,Asparagus,1993,ha,
North Macedonia,Area harvested,Asparagus,1994,ha,
North Macedonia,Area harvested,Asparagus,1995,ha,
North Macedonia,Area harvested,Asparagus,1996,ha,
North Macedonia,Area harvested,Asparagus,1997,ha,
North Macedonia,Area harvested,Asparagus,1998,ha,
North Macedonia,Area harvested,Asparagus,1999,ha,
North Macedonia,Area harvested,Asparagus,2000,ha,
North Macedonia,Area harvested,Asparagus,2001,ha,
North Macedonia,Area harvested,Asparagus,2002,ha,
North Macedonia,Area harvested,Asparagus,2003,ha,100
North Macedonia,Area harvested,Asparagus,2004,ha,250
North Macedonia,Area harvested,Asparagus,2005,ha,300
North Macedonia,Area harvested,Asparagus,2006,ha,311
North Macedonia,Area harvested,Asparagus,2007,ha,312
North Macedonia,Area harvested,Asparagus,2008,ha,309
North Macedonia,Area harvested,Asparagus,2009,ha,306
North Macedonia,Area harvested,Asparagus,2010,ha,300
North Macedonia,Area harvested,Asparagus,2011,ha,300
North Macedonia,Area harvested,Asparagus,2012,ha,300
North Macedonia,Area harvested,Asparagus,2013,ha,294
North Macedonia,Area harvested,Asparagus,2014,ha,290
North Macedonia,Area harvested,Asparagus,2015,ha,318
North Macedonia,Area harvested,Asparagus,2016,ha,316
North Macedonia,Area harvested,Asparagus,2017,ha,318
North Macedonia,Area harvested,Asparagus,2018,ha,321
North Macedonia,Area harvested,Asparagus,2019,ha,323
Peru,Area harvested,Asparagus,1961,ha,1000
Peru,Area harvested,Asparagus,1962,ha,1000
Peru,Area harvested,Asparagus,1963,ha,1000
Peru,Area harvested,Asparagus,1964,ha,1000
Peru,Area harvested,Asparagus,1965,ha,1000
Peru,Area harvested,Asparagus,1966,ha,1195
Peru,Area harvested,Asparagus,1967,ha,1180
Peru,Area harvested,Asparagus,1968,ha,955
Peru,Area harvested,Asparagus,1969,ha,940
Peru,Area harvested,Asparagus,1970,ha,820
Peru,Area harvested,Asparagus,1971,ha,570
Peru,Area harvested,Asparagus,1972,ha,555
Peru,Area harvested,Asparagus,1973,ha,410
Peru,Area harvested,Asparagus,1974,ha,430
Peru,Area harvested,Asparagus,1975,ha,460
Peru,Area harvested,Asparagus,1976,ha,465
Peru,Area harvested,Asparagus,1977,ha,693
Peru,Area harvested,Asparagus,1978,ha,976
Peru,Area harvested,Asparagus,1979,ha,1363
Peru,Area harvested,Asparagus,1980,ha,1512
Peru,Area harvested,Asparagus,1981,ha,2351
Peru,Area harvested,Asparagus,1982,ha,2361
Peru,Area harvested,Asparagus,1983,ha,2443
Peru,Area harvested,Asparagus,1984,ha,2497
Peru,Area harvested,Asparagus,1985,ha,3108
Peru,Area harvested,Asparagus,1986,ha,4119
Peru,Area harvested,Asparagus,1987,ha,4802
Peru,Area harvested,Asparagus,1988,ha,5938
Peru,Area harvested,Asparagus,1989,ha,8256
Peru,Area harvested,Asparagus,1990,ha,8997
Peru,Area harvested,Asparagus,1991,ha,10706
Peru,Area harvested,Asparagus,1992,ha,12965
Peru,Area harvested,Asparagus,1993,ha,17671
Peru,Area harvested,Asparagus,1994,ha,17705
Peru,Area harvested,Asparagus,1995,ha,20126
Peru,Area harvested,Asparagus,1996,ha,22582
Peru,Area harvested,Asparagus,1997,ha,16619
Peru,Area harvested,Asparagus,1998,ha,15972
Peru,Area harvested,Asparagus,1999,ha,18653
Peru,Area harvested,Asparagus,2000,ha,20984
Peru,Area harvested,Asparagus,2001,ha,19038
Peru,Area harvested,Asparagus,2002,ha,18981
Peru,Area harvested,Asparagus,2003,ha,18470
Peru,Area harvested,Asparagus,2004,ha,18912
Peru,Area harvested,Asparagus,2005,ha,18192
Peru,Area harvested,Asparagus,2006,ha,20041
Peru,Area harvested,Asparagus,2007,ha,23547
Peru,Area harvested,Asparagus,2008,ha,29758
Peru,Area harvested,Asparagus,2009,ha,29467
Peru,Area harvested,Asparagus,2010,ha,30896
Peru,Area harvested,Asparagus,2011,ha,33144
Peru,Area harvested,Asparagus,2012,ha,33063
Peru,Area harvested,Asparagus,2013,ha,33673
Peru,Area harvested,Asparagus,2014,ha,31919
Peru,Area harvested,Asparagus,2015,ha,33870
Peru,Area harvested,Asparagus,2016,ha,31967
Peru,Area harvested,Asparagus,2017,ha,32365
Peru,Area harvested,Asparagus,2018,ha,31005
Peru,Area harvested,Asparagus,2019,ha,31753
Philippines,Area harvested,Asparagus,1961,ha,
Philippines,Area harvested,Asparagus,1962,ha,
Philippines,Area harvested,Asparagus,1963,ha,
Philippines,Area harvested,Asparagus,1964,ha,
Philippines,Area harvested,Asparagus,1965,ha,
Philippines,Area harvested,Asparagus,1966,ha,
Philippines,Area harvested,Asparagus,1967,ha,
Philippines,Area harvested,Asparagus,1968,ha,
Philippines,Area harvested,Asparagus,1969,ha,
Philippines,Area harvested,Asparagus,1970,ha,
Philippines,Area harvested,Asparagus,1971,ha,
Philippines,Area harvested,Asparagus,1972,ha,
Philippines,Area harvested,Asparagus,1973,ha,
Philippines,Area harvested,Asparagus,1974,ha,
Philippines,Area harvested,Asparagus,1975,ha,
Philippines,Area harvested,Asparagus,1976,ha,
Philippines,Area harvested,Asparagus,1977,ha,
Philippines,Area harvested,Asparagus,1978,ha,
Philippines,Area harvested,Asparagus,1979,ha,
Philippines,Area harvested,Asparagus,1980,ha,
Philippines,Area harvested,Asparagus,1981,ha,
Philippines,Area harvested,Asparagus,1982,ha,
Philippines,Area harvested,Asparagus,1983,ha,
Philippines,Area harvested,Asparagus,1984,ha,
Philippines,Area harvested,Asparagus,1985,ha,
Philippines,Area harvested,Asparagus,1986,ha,
Philippines,Area harvested,Asparagus,1987,ha,
Philippines,Area harvested,Asparagus,1988,ha,
Philippines,Area harvested,Asparagus,1989,ha,150
Philippines,Area harvested,Asparagus,1990,ha,262
Philippines,Area harvested,Asparagus,1991,ha,297
Philippines,Area harvested,Asparagus,1992,ha,547
Philippines,Area harvested,Asparagus,1993,ha,664
Philippines,Area harvested,Asparagus,1994,ha,1088
Philippines,Area harvested,Asparagus,1995,ha,1291
Philippines,Area harvested,Asparagus,1996,ha,1384
Philippines,Area harvested,Asparagus,1997,ha,1321
Philippines,Area harvested,Asparagus,1998,ha,1022
Philippines,Area harvested,Asparagus,1999,ha,1423
Philippines,Area harvested,Asparagus,2000,ha,1502
Philippines,Area harvested,Asparagus,2001,ha,1784
Philippines,Area harvested,Asparagus,2002,ha,2270
Philippines,Area harvested,Asparagus,2003,ha,1513
Philippines,Area harvested,Asparagus,2004,ha,1654
Philippines,Area harvested,Asparagus,2005,ha,1614
Philippines,Area harvested,Asparagus,2006,ha,1524
Philippines,Area harvested,Asparagus,2007,ha,970
Philippines,Area harvested,Asparagus,2008,ha,706
Philippines,Area harvested,Asparagus,2009,ha,536
Philippines,Area harvested,Asparagus,2010,ha,368
Philippines,Area harvested,Asparagus,2011,ha,349
Philippines,Area harvested,Asparagus,2012,ha,368
Philippines,Area harvested,Asparagus,2013,ha,306
Philippines,Area harvested,Asparagus,2014,ha,305
Philippines,Area harvested,Asparagus,2015,ha,305
Philippines,Area harvested,Asparagus,2016,ha,229
Philippines,Area harvested,Asparagus,2017,ha,206
Philippines,Area harvested,Asparagus,2018,ha,200
Philippines,Area harvested,Asparagus,2019,ha,189
Poland,Area harvested,Asparagus,1961,ha,
Poland,Area harvested,Asparagus,1962,ha,
Poland,Area harvested,Asparagus,1963,ha,
Poland,Area harvested,Asparagus,1964,ha,
Poland,Area harvested,Asparagus,1965,ha,
Poland,Area harvested,Asparagus,1966,ha,
Poland,Area harvested,Asparagus,1967,ha,
Poland,Area harvested,Asparagus,1968,ha,
Poland,Area harvested,Asparagus,1969,ha,
Poland,Area harvested,Asparagus,1970,ha,
Poland,Area harvested,Asparagus,1971,ha,
Poland,Area harvested,Asparagus,1972,ha,
Poland,Area harvested,Asparagus,1973,ha,
Poland,Area harvested,Asparagus,1974,ha,
Poland,Area harvested,Asparagus,1975,ha,
Poland,Area harvested,Asparagus,1976,ha,
Poland,Area harvested,Asparagus,1977,ha,
Poland,Area harvested,Asparagus,1978,ha,
Poland,Area harvested,Asparagus,1979,ha,
Poland,Area harvested,Asparagus,1980,ha,
Poland,Area harvested,Asparagus,1981,ha,
Poland,Area harvested,Asparagus,1982,ha,
Poland,Area harvested,Asparagus,1983,ha,
Poland,Area harvested,Asparagus,1984,ha,
Poland,Area harvested,Asparagus,1985,ha,
Poland,Area harvested,Asparagus,1986,ha,
Poland,Area harvested,Asparagus,1987,ha,
Poland,Area harvested,Asparagus,1988,ha,
Poland,Area harvested,Asparagus,1989,ha,
Poland,Area harvested,Asparagus,1990,ha,200
Poland,Area harvested,Asparagus,1991,ha,184
Poland,Area harvested,Asparagus,1992,ha,158
Poland,Area harvested,Asparagus,1993,ha,206
Poland,Area harvested,Asparagus,1994,ha,188
Poland,Area harvested,Asparagus,1995,ha,198
Poland,Area harvested,Asparagus,1996,ha,208
Poland,Area harvested,Asparagus,1997,ha,197
Poland,Area harvested,Asparagus,1998,ha,143
Poland,Area harvested,Asparagus,1999,ha,220
Poland,Area harvested,Asparagus,2000,ha,231
Poland,Area harvested,Asparagus,2001,ha,213
Poland,Area harvested,Asparagus,2002,ha,194
Poland,Area harvested,Asparagus,2003,ha,250
Poland,Area harvested,Asparagus,2004,ha,220
Poland,Area harvested,Asparagus,2005,ha,200
Poland,Area harvested,Asparagus,2006,ha,215
Poland,Area harvested,Asparagus,2007,ha,215
Poland,Area harvested,Asparagus,2008,ha,215
Poland,Area harvested,Asparagus,2009,ha,197
Poland,Area harvested,Asparagus,2010,ha,207
Poland,Area harvested,Asparagus,2011,ha,250
Poland,Area harvested,Asparagus,2012,ha,165
Poland,Area harvested,Asparagus,2013,ha,182
Poland,Area harvested,Asparagus,2014,ha,229
Poland,Area harvested,Asparagus,2015,ha,218
Poland,Area harvested,Asparagus,2016,ha,204
Poland,Area harvested,Asparagus,2017,ha,204
Poland,Area harvested,Asparagus,2018,ha,1950
Poland,Area harvested,Asparagus,2019,ha,1800
Portugal,Area harvested,Asparagus,2018,ha,30
Portugal,Area harvested,Asparagus,2019,ha,30
Romania,Area harvested,Asparagus,2018,ha,20
Romania,Area harvested,Asparagus,2019,ha,190
Senegal,Area harvested,Asparagus,1993,ha,
Senegal,Area harvested,Asparagus,1994,ha,
Senegal,Area harvested,Asparagus,1995,ha,
Senegal,Area harvested,Asparagus,1996,ha,
Senegal,Area harvested,Asparagus,1997,ha,
Senegal,Area harvested,Asparagus,1998,ha,
Senegal,Area harvested,Asparagus,1999,ha,
Senegal,Area harvested,Asparagus,2000,ha,
Senegal,Area harvested,Asparagus,2001,ha,
Senegal,Area harvested,Asparagus,2002,ha,
Senegal,Area harvested,Asparagus,2003,ha,
Senegal,Area harvested,Asparagus,2004,ha,
Senegal,Area harvested,Asparagus,2005,ha,
Senegal,Area harvested,Asparagus,2006,ha,
Senegal,Area harvested,Asparagus,2007,ha,
Senegal,Area harvested,Asparagus,2008,ha,
Senegal,Area harvested,Asparagus,2009,ha,
Senegal,Area harvested,Asparagus,2010,ha,
Senegal,Area harvested,Asparagus,2011,ha,
Senegal,Area harvested,Asparagus,2012,ha,
Senegal,Area harvested,Asparagus,2013,ha,
Senegal,Area harvested,Asparagus,2014,ha,
Senegal,Area harvested,Asparagus,2015,ha,
Senegal,Area harvested,Asparagus,2016,ha,
Senegal,Area harvested,Asparagus,2017,ha,
Senegal,Area harvested,Asparagus,2018,ha,
Senegal,Area harvested,Asparagus,2019,ha,
Slovakia,Area harvested,Asparagus,1993,ha,20
Slovakia,Area harvested,Asparagus,1994,ha,40
Slovakia,Area harvested,Asparagus,1995,ha,36
Slovakia,Area harvested,Asparagus,1996,ha,18
Slovakia,Area harvested,Asparagus,1997,ha,67
Slovakia,Area harvested,Asparagus,1998,ha,100
Slovakia,Area harvested,Asparagus,1999,ha,134
Slovakia,Area harvested,Asparagus,2000,ha,144
Slovakia,Area harvested,Asparagus,2001,ha,139
Slovakia,Area harvested,Asparagus,2002,ha,200
Slovakia,Area harvested,Asparagus,2003,ha,173
Slovakia,Area harvested,Asparagus,2004,ha,240
Slovakia,Area harvested,Asparagus,2005,ha,247
Slovakia,Area harvested,Asparagus,2006,ha,304
Slovakia,Area harvested,Asparagus,2007,ha,317
Slovakia,Area harvested,Asparagus,2008,ha,366
Slovakia,Area harvested,Asparagus,2009,ha,358
Slovakia,Area harvested,Asparagus,2010,ha,360
Slovakia,Area harvested,Asparagus,2011,ha,357
Slovakia,Area harvested,Asparagus,2012,ha,268
Slovakia,Area harvested,Asparagus,2013,ha,266
Slovakia,Area harvested,Asparagus,2014,ha,247
Slovakia,Area harvested,Asparagus,2015,ha,184
Slovakia,Area harvested,Asparagus,2016,ha,194
Slovakia,Area harvested,Asparagus,2017,ha,179
Slovakia,Area harvested,Asparagus,2018,ha,220
Slovakia,Area harvested,Asparagus,2019,ha,240
Slovenia,Area harvested,Asparagus,1992,ha,0
Slovenia,Area harvested,Asparagus,1993,ha,0
Slovenia,Area harvested,Asparagus,1994,ha,0
Slovenia,Area harvested,Asparagus,1995,ha,0
Slovenia,Area harvested,Asparagus,1996,ha,0
Slovenia,Area harvested,Asparagus,1997,ha,0
Slovenia,Area harvested,Asparagus,1998,ha,0
Slovenia,Area harvested,Asparagus,1999,ha,0
Slovenia,Area harvested,Asparagus,2000,ha,0
Slovenia,Area harvested,Asparagus,2001,ha,0
Slovenia,Area harvested,Asparagus,2002,ha,0
Slovenia,Area harvested,Asparagus,2003,ha,0
Slovenia,Area harvested,Asparagus,2004,ha,0
Slovenia,Area harvested,Asparagus,2005,ha,0
Slovenia,Area harvested,Asparagus,2006,ha,0
Slovenia,Area harvested,Asparagus,2007,ha,0
Slovenia,Area harvested,Asparagus,2008,ha,0
Slovenia,Area harvested,Asparagus,2009,ha,0
Slovenia,Area harvested,Asparagus,2010,ha,0
Slovenia,Area harvested,Asparagus,2011,ha,30
Slovenia,Area harvested,Asparagus,2012,ha,30
Slovenia,Area harvested,Asparagus,2013,ha,66
Slovenia,Area harvested,Asparagus,2014,ha,66
Slovenia,Area harvested,Asparagus,2015,ha,70
Slovenia,Area harvested,Asparagus,2016,ha,54
Slovenia,Area harvested,Asparagus,2017,ha,54
Slovenia,Area harvested,Asparagus,2018,ha,50
Slovenia,Area harvested,Asparagus,2019,ha,180
Spain,Area harvested,Asparagus,1961,ha,2600
Spain,Area harvested,Asparagus,1962,ha,3200
Spain,Area harvested,Asparagus,1963,ha,4400
Spain,Area harvested,Asparagus,1964,ha,4800
Spain,Area harvested,Asparagus,1965,ha,5000
Spain,Area harvested,Asparagus,1966,ha,5800
Spain,Area harvested,Asparagus,1967,ha,6300
Spain,Area harvested,Asparagus,1968,ha,6700
Spain,Area harvested,Asparagus,1969,ha,7200
Spain,Area harvested,Asparagus,1970,ha,8000
Spain,Area harvested,Asparagus,1971,ha,8600
Spain,Area harvested,Asparagus,1972,ha,9100
Spain,Area harvested,Asparagus,1973,ha,10500
Spain,Area harvested,Asparagus,1974,ha,12500
Spain,Area harvested,Asparagus,1975,ha,13100
Spain,Area harvested,Asparagus,1976,ha,13100
Spain,Area harvested,Asparagus,1977,ha,13400
Spain,Area harvested,Asparagus,1978,ha,13260
Spain,Area harvested,Asparagus,1979,ha,13960
Spain,Area harvested,Asparagus,1980,ha,14700
Spain,Area harvested,Asparagus,1981,ha,14700
Spain,Area harvested,Asparagus,1982,ha,15600
Spain,Area harvested,Asparagus,1983,ha,17300
Spain,Area harvested,Asparagus,1984,ha,19000
Spain,Area harvested,Asparagus,1985,ha,18799
Spain,Area harvested,Asparagus,1986,ha,20300
Spain,Area harvested,Asparagus,1987,ha,21900
Spain,Area harvested,Asparagus,1988,ha,24500
Spain,Area harvested,Asparagus,1989,ha,26000
Spain,Area harvested,Asparagus,1990,ha,28100
Spain,Area harvested,Asparagus,1991,ha,28400
Spain,Area harvested,Asparagus,1992,ha,25400
Spain,Area harvested,Asparagus,1993,ha,23100
Spain,Area harvested,Asparagus,1994,ha,21000
Spain,Area harvested,Asparagus,1995,ha,19000
Spain,Area harvested,Asparagus,1996,ha,21000
Spain,Area harvested,Asparagus,1997,ha,15710
Spain,Area harvested,Asparagus,1998,ha,14230
Spain,Area harvested,Asparagus,1999,ha,15554
Spain,Area harvested,Asparagus,2000,ha,15715
Spain,Area harvested,Asparagus,2001,ha,15251
Spain,Area harvested,Asparagus,2002,ha,14931
Spain,Area harvested,Asparagus,2003,ha,14464
Spain,Area harvested,Asparagus,2004,ha,13522
Spain,Area harvested,Asparagus,2005,ha,13419
Spain,Area harvested,Asparagus,2006,ha,11999
Spain,Area harvested,Asparagus,2007,ha,11012
Spain,Area harvested,Asparagus,2008,ha,10243
Spain,Area harvested,Asparagus,2009,ha,10387
Spain,Area harvested,Asparagus,2010,ha,10178
Spain,Area harvested,Asparagus,2011,ha,11065
Spain,Area harvested,Asparagus,2012,ha,10231
Spain,Area harvested,Asparagus,2013,ha,9900
Spain,Area harvested,Asparagus,2014,ha,10112
Spain,Area harvested,Asparagus,2015,ha,11251
Spain,Area harvested,Asparagus,2016,ha,12589
Spain,Area harvested,Asparagus,2017,ha,13755
Spain,Area harvested,Asparagus,2018,ha,14690
Spain,Area harvested,Asparagus,2019,ha,13370
Sweden,Area harvested,Asparagus,2018,ha,150
Sweden,Area harvested,Asparagus,2019,ha,140
Switzerland,Area harvested,Asparagus,1961,ha,
Switzerland,Area harvested,Asparagus,1962,ha,
Switzerland,Area harvested,Asparagus,1963,ha,
Switzerland,Area harvested,Asparagus,1964,ha,
Switzerland,Area harvested,Asparagus,1965,ha,
Switzerland,Area harvested,Asparagus,1966,ha,
Switzerland,Area harvested,Asparagus,1967,ha,
Switzerland,Area harvested,Asparagus,1968,ha,
Switzerland,Area harvested,Asparagus,1969,ha,
Switzerland,Area harvested,Asparagus,1970,ha,
Switzerland,Area harvested,Asparagus,1971,ha,
Switzerland,Area harvested,Asparagus,1972,ha,
Switzerland,Area harvested,Asparagus,1973,ha,
Switzerland,Area harvested,Asparagus,1974,ha,
Switzerland,Area harvested,Asparagus,1975,ha,
Switzerland,Area harvested,Asparagus,1976,ha,
Switzerland,Area harvested,Asparagus,1977,ha,
Switzerland,Area harvested,Asparagus,1978,ha,
Switzerland,Area harvested,Asparagus,1979,ha,
Switzerland,Area harvested,Asparagus,1980,ha,
Switzerland,Area harvested,Asparagus,1981,ha,
Switzerland,Area harvested,Asparagus,1982,ha,
Switzerland,Area harvested,Asparagus,1983,ha,
Switzerland,Area harvested,Asparagus,1984,ha,
Switzerland,Area harvested,Asparagus,1985,ha,
Switzerland,Area harvested,Asparagus,1986,ha,
Switzerland,Area harvested,Asparagus,1987,ha,
Switzerland,Area harvested,Asparagus,1988,ha,
Switzerland,Area harvested,Asparagus,1989,ha,
Switzerland,Area harvested,Asparagus,1990,ha,
Switzerland,Area harvested,Asparagus,1991,ha,
Switzerland,Area harvested,Asparagus,1992,ha,
Switzerland,Area harvested,Asparagus,1993,ha,
Switzerland,Area harvested,Asparagus,1994,ha,
Switzerland,Area harvested,Asparagus,1995,ha,
Switzerland,Area harvested,Asparagus,1996,ha,
Switzerland,Area harvested,Asparagus,1997,ha,
Switzerland,Area harvested,Asparagus,1998,ha,
Switzerland,Area harvested,Asparagus,1999,ha,
Switzerland,Area harvested,Asparagus,2000,ha,
Switzerland,Area harvested,Asparagus,2001,ha,
Switzerland,Area harvested,Asparagus,2002,ha,
Switzerland,Area harvested,Asparagus,2003,ha,90
Switzerland,Area harvested,Asparagus,2004,ha,105
Switzerland,Area harvested,Asparagus,2005,ha,124
Switzerland,Area harvested,Asparagus,2006,ha,169
